的	744863	7.7946
了	130191	1.3624
在	118823	1.2434
是	118527	1.2403
和	83958	0.8786
一	81119	0.8489
这	65146	0.6817
有	53556	0.5604
他	52912	0.5537
我	52728	0.5518
也	47908	0.5013
不	46965	0.4915
就	44947	0.4703
地	42332	0.443
着	41116	0.4303
中	40849	0.4275
上	38084	0.3985
说	35429	0.3707
都	34323	0.3592
人	33991	0.3557
个	31512	0.3298
对	30936	0.3237
种	30123	0.3152
把	29749	0.3113
为	29265	0.3062
要	29039	0.3039
你	28769	0.3011
而	28404	0.2972
来	28038	0.2934
我们	26823	0.2807
又	25715	0.2691
一个	24807	0.2596
与	23823	0.2493
从	23749	0.2485
年	22029	0.2305
到	21744	0.2275
还	21148	0.2213
它	21041	0.2202
大	20907	0.2188
等	20210	0.2115
她	19915	0.2084
两	19539	0.2045
去	18963	0.1984
没有	18950	0.1983
里	18805	0.1968
得	18698	0.1957
时	18257	0.191
多	18064	0.189
他们	17787	0.1861
发展	17331	0.1814
用	17259	0.1806
那	17198	0.18
以	17181	0.1798
所	17101	0.179
很	16774	0.1755
可以	16734	0.1751
使	16571	0.1734
但	15963	0.167
自己	14793	0.1548
小	14509	0.1518
之	14428	0.151
能	14413	0.1508
下	14051	0.147
或	13918	0.1456
看	13758	0.144
就是	13715	0.1435
被	13624	0.1426
什么	13589	0.1422
三	13220	0.1383
这个	13202	0.1382
会	12996	0.136
好	12660	0.1325
可	12457	0.1304
后	12144	0.1271
这样	11980	0.1254
给	11678	0.1222
向	11609	0.1215
社会	11461	0.1199
由	11413	0.1194
进行	11087	0.116
问题	10899	0.1141
工作	10531	0.1102
如	10502	0.1099
呢	10425	0.1091
于	10296	0.1077
其	10206	0.1068
起来	10196	0.1067
国家	10139	0.1061
过	10047	0.1051
不能	10033	0.105
并	9990	0.1045
这些	9975	0.1044
生产	9556	0.1
生活	9525	0.0997
只	9417	0.0985
将	9315	0.0975
新	9292	0.0972
想	9154	0.0958
几	9132	0.0956
因为	8969	0.0939
不是	8956	0.0937
经济	8730	0.0914
更	8684	0.0909
研究	8657	0.0906
已	8632	0.0903
当	8443	0.0884
却	8375	0.0876
主要	8352	0.0874
再	8200	0.0858
由于	8074	0.0845
我国	7980	0.0835
最	7961	0.0833
关系	7954	0.0832
作用	7924	0.0829
不同	7851	0.0822
中国	7791	0.0815
才	7780	0.0814
人们	7706	0.0806
出	7687	0.0804
但是	7678	0.0803
现在	7642	0.08
则	7620	0.0797
需要	7610	0.0796
所以	7519	0.0787
因此	7416	0.0776
如果	7375	0.0772
已经	7362	0.077
一定	7317	0.0766
们	7290	0.0763
各	7275	0.0761
重要	7135	0.0747
象	7102	0.0743
一些	7071	0.074
情况	6923	0.0724
吧	6877	0.072
二	6838	0.0716
次	6837	0.0715
月	6828	0.0715
便	6790	0.0711
知道	6773	0.0709
时候	6721	0.0703
做	6708	0.0702
必须	6703	0.0701
成	6690	0.07
人民	6669	0.0698
四	6608	0.0691
走	6594	0.069
出来	6574	0.0688
活动	6569	0.0687
同	6561	0.0687
方面	6523	0.0683
条	6511	0.0681
高	6508	0.0681
吗	6508	0.0681
科学	6505	0.0681
也是	6473	0.0677
即	6439	0.0674
条件	6427	0.0673
天	6401	0.067
许多	6389	0.0669
通过	6387	0.0668
思想	6370	0.0667
发生	6317	0.0661
叫	6289	0.0658
为了	6285	0.0658
老	6236	0.0653
过程	6231	0.0652
比	6229	0.0652
起	6218	0.0651
而且	6116	0.064
影响	6103	0.0639
方法	6098	0.0638
要求	6097	0.0638
内	6025	0.063
技术	5978	0.0626
点	5958	0.0623
一般	5944	0.0622
较	5936	0.0621
让	5893	0.0617
具有	5870	0.0614
形成	5853	0.0612
对于	5846	0.0612
日	5809	0.0608
事	5775	0.0604
时间	5761	0.0603
认为	5720	0.0599
还是	5720	0.0599
真	5709	0.0597
长	5702	0.0597
世界	5697	0.0596
只有	5668	0.0593
以后	5651	0.0591
教育	5648	0.0591
它们	5634	0.059
同时	5626	0.0589
性	5575	0.0583
表现	5572	0.0583
产生	5563	0.0582
出现	5544	0.058
企业	5489	0.0574
社会主义	5480	0.0573
作	5480	0.0573
者	5475	0.0573
没	5449	0.057
各种	5419	0.0567
之间	5380	0.0563
家	5361	0.0561
组织	5334	0.0558
前	5333	0.0558
水	5318	0.0556
一样	5278	0.0552
成为	5251	0.0549
可能	5233	0.0548
根据	5186	0.0543
开始	5138	0.0538
吃	5137	0.0538
还有	5102	0.0534
话	5084	0.0532
存在	5081	0.0532
地方	5081	0.0532
变化	5077	0.0531
可是	5032	0.0527
革命	5021	0.0525
作为	5001	0.0523
这里	4974	0.0521
提高	4955	0.0519
五	4944	0.0517
同志	4928	0.0516
跟	4901	0.0513
以及	4886	0.0511
见	4823	0.0505
发现	4821	0.0504
及	4811	0.0503
一切	4810	0.0503
运动	4804	0.0503
呀	4775	0.05
每	4748	0.0497
听	4625	0.0484
历史	4620	0.0483
地区	4594	0.0481
第一	4593	0.0481
物质	4549	0.0476
问	4505	0.0471
外	4489	0.047
你们	4484	0.0469
位	4478	0.0469
正	4446	0.0465
形式	4433	0.0464
打	4413	0.0462
认识	4395	0.046
那么	4395	0.046
例如	4389	0.0459
学生	4377	0.0458
政治	4375	0.0458
比较	4352	0.0455
全	4334	0.0454
儿	4308	0.0451
应	4307	0.0451
第二	4292	0.0449
怎么	4287	0.0449
经过	4285	0.0448
提出	4271	0.0447
艺术	4257	0.0445
自然	4243	0.0444
头	4234	0.0443
过去	4213	0.0441
领导	4199	0.0439
完全	4184	0.0438
东西	4174	0.0437
其他	4169	0.0436
无	4167	0.0436
得到	4163	0.0436
劳动	4127	0.0432
本	4115	0.0431
谁	4114	0.0431
决定	4101	0.0429
结构	4079	0.0427
党	4072	0.0426
现象	4068	0.0426
受	4039	0.0423
理论	4033	0.0422
虽然	4004	0.0419
带	3996	0.0418
学习	3995	0.0418
孩子	3975	0.0416
特别	3970	0.0415
工业	3970	0.0415
啊	3952	0.0414
一点	3940	0.0412
